"Indikatorens navn";"Fylke nummer";"Fylke navn";"Verdsatte naturtype";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCACC_002";"11";"Rogaland";"Rik svartorsumpskog";"2018-2024";0.22;"Yellow"
"ENCACC_002";"11";"Rogaland";"Rikt strandberg";"2018-2024";2.02;"Yellow"
"ENCACC_002";"11";"Rogaland";"Semi-naturlig eng";"2018-2024";2.85;"Yellow"
"ENCACC_002";"11";"Rogaland";"Semi-naturlig strandeng";"2018-2024";2.05;"Yellow"
"ENCACC_002";"11";"Rogaland";"Slåttemark";"2018-2024";0;"Yellow"
"ENCACC_002";"11";"Rogaland";"Småbiotoper";"2018-2024";0.17;"Yellow"
"ENCACC_002";"11";"Rogaland";"Store gamle trær";"2018-2024";0.54;"Yellow"
"ENCACC_002";"11";"Rogaland";"Sørlig nedbørsmyr";"2018-2024";0.01;"Yellow"
"ENCACC_002";"11";"Rogaland";"Øyblandingsmyr";"2018-2024";0.28;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Atlantisk høymyr";"2018-2024";19.85;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Boreal hei";"2018-2024";19.88;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Eng-aktig sterkt endret fastmark";"2018-2024";2.36;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Flomskogsmark";"2018-2024";2.25;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Fossepåvirket berg";"2018-2024";0.14;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Frisk lågurtedellauvskog";"2018-2024";0.14;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Gammel barskog";"2018-2024";1.25;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Hagemark";"2018-2024";10.6;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Høgstaude-edellauvskog";"2018-2024";0.12;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Høstingsskog";"2018-2024";7.41;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Kalkfattig og intermediær fjellhei, leside og tundra";"2018-2024";13.96;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Kalkskog";"2018-2024";4.62;"Orange"
"ENCACC_002";"15";"Møre og Romsdal";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.39;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Kystlynghei";"2018-2024";460.62;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Kystmyr";"2018-2024";0.67;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Lågurtalm-lind-hasselskog";"2018-2024";0;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Lågurtedellauvskog";"2018-2024";0.11;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Lågurtfuruskog";"2018-2024";0;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Naturbeitemark";"2018-2024";31.86;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Rik blandingsskog i lavlandet";"2018-2024";3.27;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Rik edellauvskog";"2018-2024";10.97;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Rik åpen jordvannsmyr i mellomboreal sone";"2018-2024";0.5;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Rik åpen sørlig jordvannsmyr";"2018-2024";0.03;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Rikmyr";"2018-2024";19.72;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Sanddynemark";"2018-2024";0.23;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Semi-naturlig eng";"2018-2024";2.67;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Semi-naturlig myr";"2018-2024";11.38;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Semi-naturlig strandeng";"2018-2024";0.15;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Slåttemark";"2018-2024";6.72;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Strandeng";"2018-2024";1.06;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Sørlig nedbørsmyr";"2018-2024";9.62;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Terrengdekkende myr";"2018-2024";23.89;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Ultrabasisk og tungmetallrik mark i lavlandet";"2018-2024";1.06;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Ur og rasmark";"2018-2024";0.96;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Viktig bekkedrag";"2018-2024";0.3;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Atlantisk høymyr";"2018-2024";0.7;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Boreal hei";"2018-2024";41.1;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Eng-aktig sterkt endret fastmark";"2018-2024";0.21;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Erstatningsbiotoper på berg og åpen jord";"2018-2024";0.1;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Flomskogsmark";"2018-2024";0.57;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Gammel grandominert naturskog";"2018-2024";4.08;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Gammel granskog med liggende død ved";"2018-2024";0.24;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Gammel lågurtselje-rogneskog";"2018-2024";0.96;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Kalk- og lågurtfuruskog";"2018-2024";0.16;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Kalksjø";"2018-2024";10.79;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Kystlynghei";"2018-2024";22.15;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Kystmyr";"2018-2024";3.08;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Lågurtfuruskog";"2018-2024";0.48;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Nakent tørkeutsatt kalkberg";"2018-2024";0.02;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Naturbeitemark";"2018-2024";9.45;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Regnskog";"2018-2024";7.57;"Orange"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Rik åpen jordvannsmyr i mellomboreal sone";"2018-2024";1.62;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Rikmyr";"2018-2024";56.78;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Rikt strandberg";"2018-2024";6.57;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Sanddyne";"2018-2024";14.68;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Sanddynemark";"2018-2024";4.73;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Semi-naturlig eng";"2018-2024";7.37;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Slåttemark";"2018-2024";0.25;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Strandeng";"2018-2024";0.63;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Strandeng og strandsump";"2018-2024";0.07;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Terrengdekkende myr";"2018-2024";1.8;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Åpen flomfastmark";"2018-2024";0.06;"Yellow"
"ENCACC_002";"18";"Nordland - Nordlánnda";"Åpen kalkmark";"2018-2024";2.22;"Yellow"
"ENCACC_002";"31";"Østfold";"Dam";"2018-2024";0.12;"Yellow"
"ENCACC_002";"31";"Østfold";"Eng-aktig sterkt endret fastmark";"2018-2024";3.8;"Yellow"
"ENCACC_002";"31";"Østfold";"Flomskogsmark";"2018-2024";1.78;"Yellow"
"ENCACC_002";"31";"Østfold";"Frisk lågurtedellauvskog";"2018-2024";1.11;"Yellow"
"ENCACC_002";"31";"Østfold";"Gammel fattig edellauvskog";"2018-2024";0.1;"Yellow"
"ENCACC_002";"31";"Østfold";"Gammel furudominert naturskog";"2018-2024";6.38;"Yellow"
"ENCACC_002";"31";"Østfold";"Gammel furuskog";"2018-2024";9.2;"Yellow"
"ENCACC_002";"31";"Østfold";"Gammel furuskog med gamle trær";"2018-2024";14.19;"Yellow"
"ENCACC_002";"31";"Østfold";"Gammel granskog med gamle trær";"2018-2024";0;"Yellow"
"ENCACC_002";"31";"Østfold";"Gammel granskog med liggende død ved";"2018-2024";0.04;"Yellow"
"ENCACC_002";"31";"Østfold";"Gammel granskog med stående død ved";"2018-2024";0.04;"Yellow"
"ENCACC_002";"31";"Østfold";"Hagemark";"2018-2024";10.95;"Yellow"
"ENCACC_002";"31";"Østfold";"Hule eiker";"2018-2024";25.01;"Yellow"
"ENCACC_002";"31";"Østfold";"Hurtigstrømmende elveløp";"2018-2024";0.57;"Yellow"
"ENCACC_002";"31";"Østfold";"Høgstaude-edellauvskog";"2018-2024";0.01;"Yellow"
"ENCACC_002";"31";"Østfold";"Intakt lavlandsmyr i innlandet";"2018-2024";0.34;"Yellow"
"ENCACC_002";"31";"Østfold";"Kalkbarskog";"2018-2024";0.58;"Yellow"
"ENCACC_002";"31";"Østfold";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.12;"Yellow"
"ENCACC_002";"31";"Østfold";"Kystlynghei";"2018-2024";5.01;"Yellow"
"ENCACC_002";"31";"Østfold";"Lågurtalm-lind-hasselskog";"2018-2024";0.15;"Yellow"
"ENCACC_002";"31";"Østfold";"Lågurtedellauvskog";"2018-2024";0.12;"Yellow"
"ENCACC_002";"31";"Østfold";"Lågurteikeskog";"2018-2024";2.83;"Yellow"
"ENCACC_002";"31";"Østfold";"Lågurtfuruskog";"2018-2024";8.85;"Yellow"
"ENCACC_002";"31";"Østfold";"Naturbeitemark";"2018-2024";14.47;"Yellow"
"ENCACC_002";"31";"Østfold";"Rik edellauvskog";"2018-2024";2.63;"Yellow"
"ENCACC_002";"31";"Østfold";"Rik kulturlandskapssjø";"2018-2024";0.13;"Orange"
"ENCACC_002";"31";"Østfold";"Rik svartorstrandskog";"2018-2024";1.15;"Yellow"
"ENCACC_002";"31";"Østfold";"Rik svartorsumpskog";"2018-2024";0.33;"Yellow"
"ENCACC_002";"31";"Østfold";"Sanddynemark";"2018-2024";0.03;"Yellow"
"ENCACC_002";"31";"Østfold";"Semi-naturlig eng";"2018-2024";0.77;"Yellow"
"ENCACC_002";"31";"Østfold";"Semi-naturlig strandeng";"2018-2024";0.5;"Yellow"
"ENCACC_002";"31";"Østfold";"Slåttemark";"2018-2024";0.07;"Yellow"
"ENCACC_002";"31";"Østfold";"Store gamle trær";"2018-2024";12.41;"Yellow"
"ENCACC_002";"31";"Østfold";"Viktig bekkedrag";"2018-2024";0.52;"Yellow"
"ENCACC_002";"31";"Østfold";"Åpen flomfastmark";"2018-2024";4.9;"Yellow"
"ENCACC_002";"31";"Østfold";"Åpen grunnlendt kalkmark i boreonemoral sone";"2018-2024";0.03;"Yellow"
"ENCACC_002";"32";"Akershus";"Eksentrisk høymyr";"2018-2024";59.21;"Yellow"
"ENCACC_002";"32";"Akershus";"Eng-aktig sterkt endret fastmark";"2018-2024";1.99;"Yellow"
"ENCACC_002";"32";"Akershus";"Flomskogsmark";"2018-2024";11.12;"Yellow"
"ENCACC_002";"32";"Akershus";"Frisk kalkedellauvskog";"2018-2024";4.91;"Yellow"
"ENCACC_002";"32";"Akershus";"Frisk kalkgranskog";"2018-2024";1.34;"Yellow"
"ENCACC_002";"32";"Akershus";"Frisk lågurtedellauvskog";"2018-2024";18.31;"Yellow"
"ENCACC_002";"32";"Akershus";"Frisk rik edellauvskog";"2018-2024";1.68;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel furuskog med gamle trær";"2018-2024";4.21;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel furuskog med stående død ved";"2018-2024";1.48;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel granskog";"2018-2024";0.31;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel granskog med gamle trær";"2018-2024";0.06;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel granskog med liggende død ved";"2018-2024";0.73;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel høgstaudegråorskog";"2018-2024";9.19;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel lågurtgranskog";"2018-2024";3.59;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel lågurtospeskog";"2018-2024";0.76;"Yellow"
"ENCACC_002";"32";"Akershus";"Gammel lågurtselje-rogneskog";"2018-2024";0.19;"Yellow"
"ENCACC_002";"32";"Akershus";"Gråor-heggeskog";"2018-2024";5.42;"Yellow"
"ENCACC_002";"32";"Akershus";"Hagemark";"2018-2024";13.45;"Yellow"
"ENCACC_002";"32";"Akershus";"Hule eiker";"2018-2024";27.13;"Yellow"
"ENCACC_002";"32";"Akershus";"Høgstaude-edellauvskog";"2018-2024";0.64;"Yellow"
"ENCACC_002";"32";"Akershus";"Intakt lavlandsmyr i innlandet";"2018-2024";3.41;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalk- og lågurtfuruskog";"2018-2024";8.76;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkbarskog";"2018-2024";5.53;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkbarskog, grandominert";"2018-2024";0.43;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkedellauvskog";"2018-2024";6.27;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkfuruskog";"2018-2024";4.64;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkgranskog";"2018-2024";2.93;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkhasselskog";"2018-2024";0.09;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalklindeskog";"2018-2024";1.4;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkrik alm-lind-hasselskog";"2018-2024";2.3;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkrik helofyttsump";"2018-2024";0;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalksjø";"2018-2024";0.07;"Yellow"
"ENCACC_002";"32";"Akershus";"Kalkskog";"2018-2024";4.77;"Orange"
"ENCACC_002";"32";"Akershus";"Konsentrisk høymyr";"2018-2024";2.36;"Yellow"
"ENCACC_002";"32";"Akershus";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.01;"Yellow"
"ENCACC_002";"32";"Akershus";"Lågurtalm-lind-hasselskog";"2018-2024";2.03;"Yellow"
"ENCACC_002";"32";"Akershus";"Lågurtedellauvskog";"2018-2024";7.1;"Yellow"
"ENCACC_002";"32";"Akershus";"Lågurteikeskog";"2018-2024";1.89;"Yellow"
"ENCACC_002";"32";"Akershus";"Lågurtfuruskog";"2018-2024";15.83;"Yellow"
"ENCACC_002";"32";"Akershus";"Mudderbank";"2018-2024";2.62;"Orange"
"ENCACC_002";"32";"Akershus";"Naturbeitemark";"2018-2024";9.3;"Yellow"
"ENCACC_002";"32";"Akershus";"Platåhøymyr";"2018-2024";0.03;"Yellow"
"ENCACC_002";"32";"Akershus";"Ravinedal";"2018-2024";40.73;"Yellow"
"ENCACC_002";"32";"Akershus";"Rik edellauvskog";"2018-2024";25.08;"Yellow"
"ENCACC_002";"32";"Akershus";"Rik gransumpskog";"2018-2024";0.93;"Yellow"
"ENCACC_002";"32";"Akershus";"Rik gråorsumpskog";"2018-2024";0.01;"Yellow"
"ENCACC_002";"32";"Akershus";"Rik sump- og kildeskog";"2018-2024";6.7;"Yellow"
"ENCACC_002";"32";"Akershus";"Rik svartorsumpskog";"2018-2024";0.87;"Yellow"
"ENCACC_002";"32";"Akershus";"Rik åpen sørlig jordvannsmyr";"2018-2024";0.49;"Yellow"
"ENCACC_002";"32";"Akershus";"Saltpåvirket svartorstrandskog";"2018-2024";0.03;"Yellow"
"ENCACC_002";"32";"Akershus";"Sandfuruskog";"2018-2024";4.31;"Orange"
"ENCACC_002";"32";"Akershus";"Semi-naturlig eng";"2018-2024";6.08;"Yellow"
"ENCACC_002";"32";"Akershus";"Slåttemark";"2018-2024";2.43;"Yellow"
"ENCACC_002";"32";"Akershus";"Store gamle trær";"2018-2024";8.68;"Yellow"
"ENCACC_002";"32";"Akershus";"Svært tørkeutsatt sørlig kalkberg";"2018-2024";0.3;"Yellow"
"ENCACC_002";"32";"Akershus";"Tresatt kulturmark";"2018-2024";0.04;"Yellow"
"ENCACC_002";"32";"Akershus";"Tørkeutsatt kalkgranskog";"2018-2024";0.16;"Yellow"
"ENCACC_002";"32";"Akershus";"Viktig bekkedrag";"2018-2024";0.05;"Yellow"
"ENCACC_002";"32";"Akershus";"Åpen grunnlendt kalkmark i boreonemoral sone";"2018-2024";0.21;"Yellow"
"ENCACC_002";"32";"Akershus";"Åpen kalkmark";"2018-2024";0.63;"Yellow"
"ENCACC_002";"33";"Buskerud";"Boreal hei";"2018-2024";136.7;"Yellow"
"ENCACC_002";"33";"Buskerud";"Eng-aktig sterkt endret fastmark";"2018-2024";2.1;"Yellow"
"ENCACC_002";"33";"Buskerud";"Flommarksskog";"2018-2024";0.06;"Yellow"
"ENCACC_002";"33";"Buskerud";"Flomskogsmark";"2018-2024";2.8;"Yellow"
"ENCACC_002";"33";"Buskerud";"Fossepåvirket berg";"2018-2024";0.06;"Yellow"
"ENCACC_002";"33";"Buskerud";"Frisk kalkgranskog";"2018-2024";1.61;"Yellow"
"ENCACC_002";"33";"Buskerud";"Frisk lågurtedellauvskog";"2018-2024";5.39;"Yellow"
"ENCACC_002";"33";"Buskerud";"Frisk lågurtfuruskog";"2018-2024";0;"Yellow"
"ENCACC_002";"33";"Buskerud";"Gammel fattig sumpskog";"2018-2024";1.36;"Yellow"
"ENCACC_002";"33";"Buskerud";"Gammel furuskog med gamle trær";"2018-2024";2.07;"Yellow"
"ENCACC_002";"33";"Buskerud";"Gammel furuskog med liggende død ved";"2018-2024";0.07;"Yellow"
"ENCACC_002";"33";"Buskerud";"Gammel furuskog med stående død ved";"2018-2024";3.92;"Yellow"
"ENCACC_002";"33";"Buskerud";"Gammel grandominert naturskog";"2018-2024";2.09;"Yellow"
"ENCACC_002";"33";"Buskerud";"Gammel granskog";"2018-2024";11.76;"Yellow"
"ENCACC_002";"33";"Buskerud";"Gammel granskog med gamle trær";"2018-2024";17.13;"Yellow"
"ENCACC_002";"33";"Buskerud";"Gammel granskog med liggende død ved";"2018-2024";0.48;"Yellow"
"ENCACC_002";"33";"Buskerud";"Hagemark";"2018-2024";10.82;"Yellow"
"ENCACC_002";"33";"Buskerud";"Hule eiker";"2018-2024";2.97;"Yellow"
"ENCACC_002";"33";"Buskerud";"Høgereligende og nordlig nedbørsmyr";"2018-2024";27.02;"Yellow"
"ENCACC_002";"33";"Buskerud";"Høgstaude-edellauvskog";"2018-2024";0.05;"Yellow"
"ENCACC_002";"33";"Buskerud";"Høgstaudegranskog";"2018-2024";0.02;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kalk- og lågurtfuruskog";"2018-2024";0.85;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kalkbarskog";"2018-2024";6.75;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kalkbarskog, grandominert";"2018-2024";0.89;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kalkbjørkeskog";"2018-2024";0.03;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kalkedellauvskog";"2018-2024";0.13;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kalkfuruskog";"2018-2024";10.74;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kalkrik alm-lind-hasselskog";"2018-2024";12.83;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kalkrik helofyttsump";"2018-2024";0.05;"Yellow"
"ENCACC_002";"33";"Buskerud";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";2.42;"Yellow"
"ENCACC_002";"33";"Buskerud";"Lågurtalm-lind-hasselskog";"2018-2024";3.01;"Yellow"
"ENCACC_002";"33";"Buskerud";"Lågurtedellauvskog";"2018-2024";3.31;"Yellow"
"ENCACC_002";"33";"Buskerud";"Lågurteikeskog";"2018-2024";0.62;"Yellow"
"ENCACC_002";"33";"Buskerud";"Lågurtfuruskog";"2018-2024";18.62;"Yellow"
"ENCACC_002";"33";"Buskerud";"Nakent tørkeutsatt kalkberg";"2018-2024";0.01;"Yellow"
"ENCACC_002";"33";"Buskerud";"Naturbeitemark";"2018-2024";35.01;"Yellow"
"ENCACC_002";"33";"Buskerud";"Ravinedal";"2018-2024";2.11;"Yellow"
"ENCACC_002";"33";"Buskerud";"Rik barskog";"2018-2024";0;"Yellow"
"ENCACC_002";"33";"Buskerud";"Rik edellauvskog";"2018-2024";12.68;"Yellow"
"ENCACC_002";"33";"Buskerud";"Rik gransumpskog";"2018-2024";0.37;"Yellow"
"ENCACC_002";"33";"Buskerud";"Rik sandfuruskog";"2018-2024";2.92;"Yellow"
"ENCACC_002";"33";"Buskerud";"Sandfuruskog";"2018-2024";21.27;"Yellow"
"ENCACC_002";"33";"Buskerud";"Semi-naturlig eng";"2018-2024";15.56;"Yellow"
"ENCACC_002";"33";"Buskerud";"Semi-naturlig myr";"2018-2024";0.01;"Yellow"
"ENCACC_002";"33";"Buskerud";"Semi-naturlig strandeng";"2018-2024";1.19;"Yellow"
"ENCACC_002";"33";"Buskerud";"Semi-naturlig våteng";"2018-2024";1.85;"Yellow"
"ENCACC_002";"33";"Buskerud";"Slåttemark";"2018-2024";12.38;"Yellow"
"ENCACC_002";"33";"Buskerud";"Slåttemyr";"2018-2024";0.46;"Yellow"
"ENCACC_002";"33";"Buskerud";"Store gamle trær";"2018-2024";0.67;"Yellow"
"ENCACC_002";"33";"Buskerud";"Strandeng";"2018-2024";0.01;"Yellow"
"ENCACC_002";"33";"Buskerud";"Åpen grunnlendt kalkrik mark i sørboreal sone";"2018-2024";0.2;"Yellow"
"ENCACC_002";"33";"Buskerud";"Åpen kalkmark";"2018-2024";0.3;"Yellow"
"ENCACC_002";"34";"Innlandet";"Artsrik veikant";"2018-2024";1.07;"Yellow"
"ENCACC_002";"34";"Innlandet";"Bekkekløft og bergvegg";"2018-2024";0.92;"Yellow"
"ENCACC_002";"34";"Innlandet";"Boreal hei";"2018-2024";20.98;"Yellow"
"ENCACC_002";"34";"Innlandet";"Eng-aktig sterkt endret fastmark";"2018-2024";9.52;"Yellow"
"ENCACC_002";"34";"Innlandet";"Erstatningsbiotoper på berg og åpen jord";"2018-2024";10.41;"Yellow"
"ENCACC_002";"34";"Innlandet";"Flommarksskog";"2018-2024";1.4;"Yellow"
"ENCACC_002";"34";"Innlandet";"Flomskogsmark";"2018-2024";10.54;"Yellow"
"ENCACC_002";"34";"Innlandet";"Frisk kalkgranskog";"2018-2024";3.4;"Yellow"
"ENCACC_002";"34";"Innlandet";"Gammel furuskog med stående død ved";"2018-2024";8.83;"Yellow"
"ENCACC_002";"34";"Innlandet";"Gammel granskog";"2018-2024";0.52;"Yellow"
"ENCACC_002";"34";"Innlandet";"Gammel granskog med gamle trær";"2018-2024";0.94;"Yellow"
"ENCACC_002";"34";"Innlandet";"Gammel granskog med liggende død ved";"2018-2024";0.06;"Yellow"
"ENCACC_002";"34";"Innlandet";"Gammel høgstaudegråorskog";"2018-2024";0.36;"Yellow"
"ENCACC_002";"34";"Innlandet";"Gammel lågurtgranskog";"2018-2024";3.03;"Yellow"
"ENCACC_002";"34";"Innlandet";"Hagemark";"2018-2024";17.34;"Yellow"
"ENCACC_002";"34";"Innlandet";"Høgstaudegranskog";"2018-2024";2.12;"Yellow"
"ENCACC_002";"34";"Innlandet";"Intakt lavlandsmyr i innlandet";"2018-2024";0.2;"Yellow"
"ENCACC_002";"34";"Innlandet";"Kalkbarskog";"2018-2024";3.5;"Yellow"
"ENCACC_002";"34";"Innlandet";"Kalkbarskog, grandominert";"2018-2024";0.2;"Yellow"
"ENCACC_002";"34";"Innlandet";"Kalkbjørkeskog";"2018-2024";2.3;"Yellow"
"ENCACC_002";"34";"Innlandet";"Kalkfuruskog";"2018-2024";1.8;"Yellow"
"ENCACC_002";"34";"Innlandet";"Kalkrik helofyttsump";"2018-2024";0.05;"Yellow"
"ENCACC_002";"34";"Innlandet";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.09;"Yellow"
"ENCACC_002";"34";"Innlandet";"Lågurtalm-lind-hasselskog";"2018-2024";0.73;"Yellow"
